epoch,train_mse_log10,test_mse_log10
1,0.3012681007385254,0.3117337226867676
2,0.2427108734846115,0.2428210824728012
3,0.20265230536460876,0.20666205883026123
4,0.18957851827144623,0.1927797496318817
5,0.18503931164741516,0.18569660186767578
6,0.1727851778268814,0.17605562508106232
7,0.16887664794921875,0.17036128044128418
8,0.16451361775398254,0.16584090888500214
9,0.16111087799072266,0.16389736533164978
10,0.1612512618303299,0.16437914967536926
11,0.15944862365722656,0.16115444898605347
12,0.15743906795978546,0.15764585137367249
13,0.15611901879310608,0.15823274850845337
14,0.15613915026187897,0.15832573175430298
15,0.1576109379529953,0.15983282029628754
16,0.15340347588062286,0.15393520891666412
17,0.15293076634407043,0.15321314334869385
18,0.1571427434682846,0.15592874586582184
19,0.1528470814228058,0.15316928923130035
20,0.1526673138141632,0.1541755199432373
21,0.15232105553150177,0.1534363180398941
22,0.15395770967006683,0.15355661511421204
23,0.15371032059192657,0.15570901334285736
24,0.15255509316921234,0.15198543667793274
25,0.15250176191329956,0.1542663872241974
26,0.15771658718585968,0.15573760867118835
27,0.15220080316066742,0.15223726630210876
28,0.1527062952518463,0.15282869338989258
29,0.15424098074436188,0.1564665287733078
30,0.15161633491516113,0.15259172022342682
31,0.1522108018398285,0.1512703001499176
32,0.1510409712791443,0.15104392170906067
33,0.14978818595409393,0.15053974092006683
34,0.15072183310985565,0.15019723773002625
35,0.1515210121870041,0.15318553149700165
36,0.15033282339572906,0.15014567971229553
37,0.14976085722446442,0.15046562254428864
38,0.15135814249515533,0.15338778495788574
39,0.14951781928539276,0.1511521339416504
40,0.14987121522426605,0.14988017082214355
41,0.15218350291252136,0.15432627499103546
42,0.14850886166095734,0.14945806562900543
43,0.15016473829746246,0.15165506303310394
44,0.1486886590719223,0.149839386343956
45,0.1491251438856125,0.14920973777770996
46,0.15036696195602417,0.15141279995441437
47,0.14845982193946838,0.14851337671279907
48,0.14951570332050323,0.14956746995449066
49,0.15170593559741974,0.15365098416805267
50,0.15256360173225403,0.15520693361759186
